file,a,b,resin,protein,pH
caq_adh_pH_7.csv,3841.2868929200754,-1.5313176034657903,caq,adh,7
caq_blg_pH_7.csv,2.0505567599355644e+16,-6.326865132383548,caq,blg,7
caq_cat_pH_7.csv,1406415948623.3154,-5.500367043018329,caq,cat,7
caq_ova_pH_7.csv,6133014202139.731,-5.166429615406002,caq,ova,7
phq_adh_pH_7.csv,31912278.265850663,-3.5146237319905898,phq,adh,7
phq_blg_pH_7.csv,3.639106183800047e+18,-7.26108651080126,phq,blg,7
phq_cat_pH_7.csv,1325005561.1025186,-3.8546700130414675,phq,cat,7
phq_ova_pH_7.csv,68509042304.7668,-4.463771526931588,phq,ova,7
pxq_adh_pH_7.csv,50203062.95921288,-3.5718040865601206,pxq,adh,7
pxq_blg_pH_7.csv,3.457469424919135e+18,-7.181837722688725,pxq,blg,7
pxq_cat_pH_7.csv,242013320162.44226,-4.93338583309894,pxq,cat,7
pxq_ova_pH_7.csv,33224394341520.066,-5.493055566076739,pxq,ova,7
sep_lys_pH_5.csv,1.7112351824998973e+20,-7.284118545876382,sep,lys,5
sep_lys_pH_7.csv,2450296886953685.0,-5.558836832008461,sep,lys,7
sep_lys_pH_9.csv,285004122496740.6,-5.584331257491796,sep,lys,9
sep_mAbD_pH_7.csv,2259950260700884.0,-6.408472467480641,sep,mAb,7
