x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.035189,,,,,,,0.47403,,
0.035432,,,0.51948,,,,,,
0.05025,,,,,,,,0.07792,
0.050286,,,,,0.31818,,,,
0.050562,,,-0.11039,,,,,,
0.05057,,,,,,,-0.05844,,
0.075178,,,,,,,,-0.53896,
0.075203,,,,,-0.42857,,,,
0.075326,0.11688,,,,,,,,
0.075672,,,,,,,-0.6039,,
0.075676,,,-0.58442,,,,,,
0.07574,,,,,,-0.30519,,,
0.07589,,,,0.35714,,,,,
0.10034,,,,,,,,-0.98052,
0.100361,,,,,-0.90909,,,,
0.100387,,,,,,-0.82468,,,
0.100504,-0.43506,,,,,,,,
0.10058,,,,-0.18182,,,,,
0.100659,,,,,,,,,0.07792
0.100993,,,,,,,-1.06494,,
0.125227,,,,,,,,-1.31818,
0.125266,,,,,-1.21429,,,,
0.12542,-0.80519,,,,,,,,
0.126046,,,-1.3961,,,,,,
0.12606,,,,,,,-1.35714,,
0.126151,,,,,,-1.11688,,,
0.126421,,,,-0.4026,,,,,
0.126513,,,,,,,,,-0.16234
0.126594,,0.05195,,,,,,,
0.15011,,,,,,,,-1.6039,
0.15015,,,,,-1.52597,,,,
0.15031,-1.16234,,,,,,,,
0.15108,,,-1.72078,,,,,,
0.15112,,,,,,,-1.61688,,
0.15122,,,,,,-1.4026,,,
0.15152,,,,-0.74675,,,,,
0.15158,,,,,,,,,-0.6039
0.15172,,-0.31169,,,,,,,
0.17521,,,,,-1.77922,,,,
0.17538,-1.46104,,,,,,,,
0.17637,,,,,,,-1.83766,-1.83766,
0.17675,,,,,,,,,-1.11039
0.177,,-0.64935,,,,,,,
0.1775,,,-1.94805,,,,,,
0.17798,,,,-1.04545,,,,,
0.20042,,,,,-1.94156,,,,
0.20055,-1.72078,,,,,,,,
0.20168,,,-2.0974,,,,,,
0.20173,,,,,,,,-2.01948,
0.20176,,,,,,,-1.96753,,
0.20216,,,,-1.2987,,,,,
0.20238,,-0.94156,,,,,,,
0.22806,,,,,,,,,-1.5974
0.25016,,,,,,,,-2.24026,
0.25023,,,,,-2.14935,,,,
0.25028,-2.07143,,,,,,,,
0.25183,,,-2.27273,,,,,,
0.25189,,,,,,,-2.18182,,
0.25193,,,,,,-2.13636,,,
0.25212,,,,,,,,,-1.87662
0.25226,,,,-1.7013,,,,,
0.25249,,-1.38961,,,,,,,
0.30003,,,,,-2.35065,,,,
0.30011,-2.25974,,,,,,,,
0.30195,,,,,,,,-2.46753,
0.30199,,,,,,-2.42208,,,
0.30202,,,-2.3961,,,,,,
0.30212,,,,,,,-2.28571,,
0.30238,,,,-1.99351,,,,,
0.30263,,-1.71429,,,,,,,
0.34975,,,,,,,,-2.94805,
0.35008,-2.62987,,,,,,,,
0.35238,,,,,,-2.69481,,,
0.35276,,,,,,,-2.33766,,
0.35293,,,,-2.17532,,,,,
0.35299,,,,,,,,,-2.12338
0.35332,,-1.80519,,,,,,,
0.40045,-2.78571,,,,,,,,
0.40067,,,,,-2.6039,,,,
0.4033,,,,,,,-2.66883,,
0.40365,,,,,,,,,-2.38312
0.40376,,,,-2.29221,,,,,
0.40422,,-1.90909,,,,,,,
0.45217,,,,,,,,,-2.76623
0.45235,,,,,,,-2.63636,,
0.4524,,,,-2.5974,,,,,
0.5043,,-2.37013,,,,,,,
