x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.035,,,0.51948,,,,0.47403,,
0.05,,,-0.11039,,0.31818,,-0.05844,0.07792,
0.075,0.11688,,-0.58442,0.35714,-0.42857,-0.30519,-0.6039,-0.53896,
0.1,-0.43506,,,-0.18182,-0.90909,-0.82468,-1.06494,-0.98052,0.07792
0.125,-0.80519,0.05195,-1.3961,-0.4026,-1.21429,-1.11688,-1.35714,-1.31818,-0.16234
0.15,-1.16234,-0.31169,-1.72078,-0.74675,-1.52597,-1.4026,-1.61688,-1.6039,-0.6039
0.175,-1.46104,-0.64935,-1.94805,-1.04545,-1.77922,,-1.83766,-1.83766,-1.11039
0.2,-1.72078,-0.94156,-2.0974,-1.2987,-1.94156,,-1.96753,-2.01948,
0.225,,,,,,,,,-1.5974
0.25,-2.07143,-1.38961,-2.27273,-1.7013,-2.14935,-2.13636,-2.18182,-2.24026,-1.87662
0.3,-2.25974,-1.71429,-2.3961,-1.99351,-2.35065,-2.42208,-2.28571,-2.46753,
0.35,-2.62987,-1.80519,,-2.17532,,-2.69481,-2.33766,-2.94805,-2.12338
0.4,-2.78571,-1.90909,,-2.29221,-2.6039,,-2.66883,,-2.38312
0.45,,,,-2.5974,,,-2.63636,,-2.76623
0.5,,-2.37013,,,,,,,
