x,SP Sepharose FF,SP Spherodex M,SP-650 M,EMD sulfonate M,CM Sepharose FF,CM Spherodex M,CM-650 M,EMD carboxylic M,SP-550 C
0.05,,,0.67344,,,,0.35994,,
0.075,,,-0.05806,,0.35341,,-0.1299,0.21626,
0.085,,,,,,0.41872,,,
0.1,,,-0.61974,,-0.1299,-0.22787,,-0.16255,
0.125,0.02032,,-1.03774,,-0.6328,-0.59361,-1.07692,-0.57402,0.13135
0.15,-0.39768,,-1.42308,-0.14949,-1.01161,-0.89405,,-0.92017,-0.44993
0.175,-0.74383,0.09216,-1.70392,-0.46299,-1.30552,-1.16836,-1.67126,-1.21408,-0.76996
0.2,-1.02467,-0.25399,-1.92598,-0.74383,-1.54064,-1.38389,-1.88026,-1.4492,-1.04427
0.225,-1.26633,-0.50218,-2.09579,-0.97242,,,,,-1.28592
0.25,-1.45573,-0.71771,-2.21988,-1.18795,-1.89985,-1.73657,-2.12845,-1.79536,-1.49492
0.275,,-0.91364,,-1.35776,,,,,
0.3,-1.7627,-1.07692,-2.36357,-1.50145,-2.10232,-1.9521,-2.29826,-2.03701,-1.78882
0.35,-1.9717,-1.32511,-2.53991,-1.74964,-2.22642,,-2.53338,-2.1611,
0.4,-2.08926,-1.52104,-2.80769,-1.93251,-2.38316,,-2.67707,-2.29826,-2.20682
0.45,-2.19376,-1.68433,,-2.09579,-2.55298,-2.3701,-2.86647,-2.38316,-2.35051
0.5,-2.21988,-1.83454,,-2.24601,-2.84035,-2.59869,,-2.62482,-2.4746
