,IS [mM],kprime,resin,iex_type,protein
0,160.0,83.57886887490463,SP Sepharose FF,cex,lysozyme
1,210.0,19.475404617781994,SP Sepharose FF,cex,lysozyme
2,260.0,4.3382691174980685,SP Sepharose FF,cex,lysozyme
3,310.0,2.047512158069865,SP Sepharose FF,cex,lysozyme
4,360.0,0.966354535391679,SP Sepharose FF,cex,lysozyme
6,410.0,0.6539981040025692,SP Sepharose FF,cex,lysozyme
8,508.96000000000004,0.4044608491133337,SP Sepharose FF,cex,lysozyme
10,610.0,0.3040650396054567,SP Sepharose FF,cex,lysozyme
11,710.0,0.246408956332876,SP Sepharose FF,cex,lysozyme
12,810.0,0.15239351604262577,SP Sepharose FF,cex,lysozyme
13,910.0,0.09567236048582459,SP Sepharose FF,cex,lysozyme
14,1010.0,0.07753298227769703,SP Sepharose FF,cex,lysozyme
18,310.0,51.67375447400086,SP Spherodex M,cex,lysozyme
19,360.0,18.334539959343875,SP Spherodex M,cex,lysozyme
21,410.0,6.603740780018483,SP Spherodex M,cex,lysozyme
22,460.0,3.359773631841823,SP Spherodex M,cex,lysozyme
23,508.96000000000004,1.9567260072494619,SP Spherodex M,cex,lysozyme
25,610.0,0.8439369798767137,SP Spherodex M,cex,lysozyme
26,710.0,0.4166678746196019,SP Spherodex M,cex,lysozyme
27,810.0,0.2500633341031461,SP Spherodex M,cex,lysozyme
29,1010.0,0.11453019953363948,SP Spherodex M,cex,lysozyme
30,160.0,70.7966190519282,SP-650 M,cex,lysozyme
31,210.0,9.047581796207222,SP-650 M,cex,lysozyme
32,260.0,3.5128735579009165,SP-650 M,cex,lysozyme
33,310.0,1.2464145730278327,SP-650 M,cex,lysozyme
34,360.0,0.5539652444297742,SP-650 M,cex,lysozyme
36,410.0,0.2948305741011036,SP-650 M,cex,lysozyme
38,508.96000000000004,0.10000288244320314,SP-650 M,cex,lysozyme
40,610.0,0.04649460025136857,SP-650 M,cex,lysozyme
41,710.0,0.01725688949567476,SP-650 M,cex,lysozyme
46,210.0,86.06166911826278,EMD sulfonate M,cex,lysozyme
47,260.0,21.945211194509003,EMD sulfonate M,cex,lysozyme
48,310.0,9.753483749710401,EMD sulfonate M,cex,lysozyme
49,360.0,4.144000171670969,EMD sulfonate M,cex,lysozyme
51,410.0,1.9854537035982944,EMD sulfonate M,cex,lysozyme
53,508.96000000000004,0.7259383913422728,EMD sulfonate M,cex,lysozyme
55,610.0,0.3178408875063407,EMD sulfonate M,cex,lysozyme
56,710.0,0.15227891183010644,EMD sulfonate M,cex,lysozyme
57,810.0,0.07187035081161743,EMD sulfonate M,cex,lysozyme
58,910.0,0.04719975721525307,EMD sulfonate M,cex,lysozyme
60,160.0,26.662205228566275,CM Sepharose FF,cex,lysozyme
61,210.0,4.398312340863698,CM Sepharose FF,cex,lysozyme
62,260.0,1.5605801085697097,CM Sepharose FF,cex,lysozyme
63,310.0,0.6531697557208136,CM Sepharose FF,cex,lysozyme
64,360.0,0.32736034295871586,CM Sepharose FF,cex,lysozyme
66,410.0,0.20552093498669968,CM Sepharose FF,cex,lysozyme
68,508.96000000000004,0.0873204704823699,CM Sepharose FF,cex,lysozyme
70,610.0,0.04717545168256405,CM Sepharose FF,cex,lysozyme
75,160.0,43.15748236244522,CM Spherodex M,cex,lysozyme
76,210.0,9.329021666528517,CM Spherodex M,cex,lysozyme
77,260.0,3.4110344193737783,CM Spherodex M,cex,lysozyme
78,310.0,1.609889625586535,CM Spherodex M,cex,lysozyme
79,360.0,0.7829897949068634,CM Spherodex M,cex,lysozyme
81,410.0,0.5975250291169522,CM Spherodex M,cex,lysozyme
82,460.0,0.4989948940258728,CM Spherodex M,cex,lysozyme
83,508.96000000000004,0.3132752618930382,CM Spherodex M,cex,lysozyme
85,610.0,0.095654653250081,CM Spherodex M,cex,lysozyme
90,160.0,51.6627953311869,CM-650 M,cex,lysozyme
91,210.0,7.557843607802427,CM-650 M,cex,lysozyme
92,260.0,2.6416659658103123,CM-650 M,cex,lysozyme
93,310.0,1.0411849956835075,CM-650 M,cex,lysozyme
94,360.0,0.4988476158718972,CM-650 M,cex,lysozyme
96,410.0,0.3039120366423749,CM-650 M,cex,lysozyme
98,508.96000000000004,0.1500472018628591,CM-650 M,cex,lysozyme
100,610.0,0.09707287693716858,CM-650 M,cex,lysozyme
101,710.0,0.05913953438696094,CM-650 M,cex,lysozyme
102,810.0,0.034963741522022716,CM-650 M,cex,lysozyme
105,160.0,36.33423863847885,EMD carboxylic M,cex,lysozyme
106,210.0,6.658341474081711,EMD carboxylic M,cex,lysozyme
107,260.0,2.095009826097187,EMD carboxylic M,cex,lysozyme
108,310.0,0.7775996639857145,EMD carboxylic M,cex,lysozyme
109,360.0,0.39561801927375934,EMD carboxylic M,cex,lysozyme
111,410.0,0.25213089430222435,EMD carboxylic M,cex,lysozyme
113,508.96000000000004,0.14249383147771968,EMD carboxylic M,cex,lysozyme
115,610.0,0.07141608920726908,EMD carboxylic M,cex,lysozyme
116,710.0,0.03525949308203522,EMD carboxylic M,cex,lysozyme
123,310.0,294.4970663702098,SP-550 C,cex,lysozyme
124,360.0,45.067241144104926,SP-550 C,cex,lysozyme
125,385.0,22.250561392897456,SP-550 C,cex,lysozyme
126,410.0,9.453681638079344,SP-550 C,cex,lysozyme
127,460.0,5.423766357490132,SP-550 C,cex,lysozyme
128,508.96000000000004,2.843550679533295,SP-550 C,cex,lysozyme
129,560.0,1.9535339940720098,SP-550 C,cex,lysozyme
130,610.0,1.3623885121057613,SP-550 C,cex,lysozyme
131,710.0,0.6931400174196928,SP-550 C,cex,lysozyme
132,810.0,0.4552091393590008,SP-550 C,cex,lysozyme
133,910.0,0.3034736393666128,SP-550 C,cex,lysozyme
134,1010.0,0.24965540501409741,SP-550 C,cex,lysozyme
