x,SP Spherodex M
0.79631,1.6866
0.89983,1.35167
0.99736,1.07416
1.20208,0.47129
1.40285,0.00239
1.5953,-0.27512
1.8021,-0.42823

x,Cellufine sulfate
0.53828,2.2799
0.60055,1.9067
0.69635,1.46651
0.79723,0.95933
0.99869,0.24163
1.20304,-0.02632
1.39466,-0.34211
1.6065,-0.66746
1.8036,-0.92584
1.9989,-1.16507

x,EMD sulfonate M
0.40105,2.08852
0.49905,1.54306
0.60136,1.06459
0.69721,0.69139
0.79798,0.3756
0.99922,-0.08373
1.20374,-0.38995
1.40401,-0.51435

x,SP-550 C
0.29688,1.92584
0.33759,1.67703
0.39902,1.25598
0.44229,0.94976
0.4965,0.73923
0.59442,0.31818
0.79365,-0.22727
1.00006,-0.61005
1.19711,-0.94498
1.39654,-1.18421

x,SP Sepharose FF
0.25786,1.93541
0.29895,1.60048
0.39667,0.94976
0.49674,0.43301
0.59851,0.0311
0.79391,-0.42823
1.00006,-0.61005
1.18975,-1.08852
1.39667,-1.24163
1.5882,-1.49043

x,SP-650 M
0.079834,2.24163
0.100624,1.6866
0.140503,1.17943
0.20002,0.58612
0.23944,0.22249
0.30173,-0.17943
0.39766,-0.61962
0.60344,-1.08852
