x,SP Sepharose FF
0.40211,1.2526
0.46672,2.678
0.57269,10.658

x,CM Sepharose FF
0.44335,1.2538
0.47175,1.597
0.55449,5.166
0.58811,8.67

x,Heparin Sepharose FF
0.61111,3.54
0.63691,4.066
0.66014,4.669
0.68339,5.947
0.71692,6.6

x,SP Toyopearl 650m
0.46137,1.1311
0.49757,1.9651
0.53635,3.299
0.57516,6.355
0.61652,11.43

x,CM Toyopearl 650m

x,Heparin Toyopearl 650m
0.49753,1.598
0.5311,2.1809
0.56989,3.922
0.6138,5.937
0.66032,10.318

x,S Ceramic HyperD 20
0.35335,3.173
0.37919,4.33
0.40504,6.116
0.43606,8.942
0.46451,14.007

x,CM Ceramic HyperD F
0.35347,5.322
0.40522,13.514
0.43379,35.5
0.45195,59.56
0.49848,114.78

x,Heparin Ceramic HyperD M
0.37894,1.3884
0.43315,2.031
0.49514,3.783
0.53139,7.808
0.57026,20.515
