paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime,ln(kprime),ln(tis_mM)
1,a,anti-FVII mAb,aex,Express-Ion Q,7.9816,0.12528816277438107,3.5945,1.2794048994417893,4.8306163863649765
1,a,anti-FVII mAb,aex,Express-Ion Q,7.3461,0.13612665223724152,1.0989,0.09430967947074131,4.913585718826784
1,a,anti-FVII mAb,aex,Express-Ion Q,6.6074,0.1513454611496201,0.30333,-1.1929339572107196,5.019565045917418
1,a,anti-FVII mAb,aex,Express-Ion Q,6.0311,0.16580723251148213,0.038518,-3.256629614480117,5.1108258636525745
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,7.3978,0.1351753223931439,11.52,2.444084655267745,4.906572620270913
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.8932,0.1450705042650728,4.8836,1.5858826528125634,4.977219860556852
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.4651,0.15467664846638104,2.756,1.013780353151412,5.041336798973844
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.027,0.16592002654720425,1.3758,0.31903538010977667,5.11150590448123
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,5.72,0.17482517482517484,0.9143,-0.08959653381175617,5.163786473590431
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,5.1239,0.1951638400437167,0.42931,-0.8455760102889314,5.2738394111412115
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,5.1697,0.19343482213668106,8.479,2.137592518321866,5.264940619224739
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,4.6804,0.213656952397231,3.1154,1.1363575549103684,5.364371702619471
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,4.2648,0.23447758394297505,1.493,0.4007875185570534,5.457359992455723
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,3.9332,0.2542459066409031,0.8958,-0.11003810520893731,5.538301935058273
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,3.6493,0.27402515550927575,0.6076,-0.4982385082605192,5.6132199106019485
1,a,anti-FVII mAb,aex,Poros QE/M,3.1308,0.3194071802734126,3.9811,1.38155816301945,5.766466716033591
1,a,anti-FVII mAb,aex,Poros QE/M,2.9379,0.34037918240920384,2.7002,0.9933258443410088,5.830060238569415
1,a,anti-FVII mAb,aex,Poros QE/M,2.7576,0.3626341746446185,1.9875,0.68687756754635,5.893394542761619
1,a,anti-FVII mAb,aex,Poros QE/M,2.6342,0.3796218965909954,1.7226,0.5438347773729362,5.939175748399328
1,a,anti-FVII mAb,aex,Poros QE/M,2.5311,0.39508514084785273,1.6202,0.4825495984142539,5.979101288124584
1,a,anti-FVII mAb,aex,Poros QE/M,2.5016,0.3997441637352095,1.4332,0.3599097064486617,5.990824751820643
1,a,anti-FVII mAb,aex,Poros QE/M,2.3893,0.418532624618089,1.1925,0.17605194378035913,6.036754842967789
1,a,anti-FVII mAb,aex,Q HyperD 20,6.6849,0.14959086897335788,15.024,2.709648922465907,5.007904027403242
1,a,anti-FVII mAb,aex,Q HyperD 20,5.7445,0.17407955435634084,3.8217,1.3406953498017138,5.159512403670854
1,a,anti-FVII mAb,aex,Q HyperD 20,5.4446,0.18366822172427724,1.6202,0.4825495984142539,5.213130987187314
1,a,anti-FVII mAb,aex,Q HyperD 20,5.1641,0.19364458472918802,0.8777,-0.1304504293840651,5.2660244413517745
1,a,anti-FVII mAb,aex,Q HyperD 20,4.8965,0.20422750944552232,0.42931,-0.8455760102889314,5.319234614803425
1,a,anti-FVII mAb,aex,Q HyperD 20,4.6389,0.21556834594408159,0.15774,-1.8468071710122922,5.37327800981478
1,a,anti-FVII mAb,aex,Q HyperD 20,4.461,0.22416498542927593,0.028936,-3.5426687843323403,5.4123823228360095
1,a,anti-FVII mAb,aex,Q Sepharose FF,5.1399,0.19455631432518142,8.139,2.096667322344904,5.270721654957238
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.9328,0.2027246188777165,5.087,1.6266882658406279,5.311848500832388
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.6772,0.21380313007782434,2.4883,0.9115997463860316,5.36505563869811
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.4626,0.22408461435037869,1.4628,0.38035240729308917,5.4120237231638715
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.2826,0.23350301218885722,0.8958,-0.11003810520893731,5.453194977192157
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.1093,0.24335044898157837,0.5266,-0.6413140319199281,5.494502581281165
1,a,anti-FVII mAb,aex,Q Zirconia,8.0211,0.1246711797633741,18.811,2.9344418051108834,4.825679709401658
1,a,anti-FVII mAb,aex,Q Zirconia,7.3825,0.13545546901456146,5.751,1.749373752731617,4.908642944346196
1,a,anti-FVII mAb,aex,Q Zirconia,6.6861,0.1495640208791373,2.3887,0.870749284903777,5.007724534470294
1,a,anti-FVII mAb,aex,Q Zirconia,6.4124,0.1559478510386127,1.1925,0.17605194378035913,5.049521663148756
1,a,anti-FVII mAb,aex,Q Zirconia,5.7054,0.17527254881340484,0.38761,-0.9477555995047332,5.166342184190821
1,a,anti-FVII mAb,aex,Q Zirconia,4.9554,0.2018000565040158,0.07875,-2.5414770012763945,5.307277387919548
1,a,anti-FVII mAb,aex,Source 30Q,6.9134,0.14464662828709463,13.022,2.5666402348146704,4.974293721693818
1,a,anti-FVII mAb,aex,Source 30Q,6.4422,0.15522647542764895,5.635,1.7289971474917396,5.044885182296129
1,a,anti-FVII mAb,aex,Source 30Q,6.041,0.16553550736633008,2.9907,1.0955074737146309,5.109185717825532
1,a,anti-FVII mAb,aex,Source 30Q,5.7326,0.17444091686145904,1.9079,0.646003160751128,5.161586098988379
1,a,anti-FVII mAb,aex,Source 30Q,5.4088,0.1848838929152492,1.1925,0.17605194378035913,5.219728022187806
1,a,anti-FVII mAb,aex,Source 30Q,4.986,0.20056157240272765,0.6201,-0.4778745236263048,5.301121293880771
1,a,anti-FVII mAb,aex,Source 30Q,4.4694,0.22374367924106142,0.36457,-1.009036702075745,5.410501107553988
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,10.4788,0.09543077451616598,23.075,3.138749780388916,4.558401110462097
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,9.4857,0.10542184551482758,8.139,2.096667322344904,4.6579698775802925
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,8.6362,0.11579166763159722,2.9302,1.0750706800850756,4.751792607727891
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,7.9132,0.1263711267249659,1.348,0.29862201249011533,4.839223027810338
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,7.3335,0.1363605372605168,0.6201,-0.4778745236263048,4.915302387277464
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,6.8367,0.1462693989790396,0.30959,-1.172506437529815,4.985450119907439
1,a,anti-FVII mAb,aex,TSK-Gel Q-5PW-HR,6.3758,0.15684306283133098,0.17471,-1.7446278224957839,5.055245705614805
1,c,lipolase,aex,Express-Ion Q,8.0195,0.12469605336991083,13.217,2.5815038797756698,4.825879203186841
1,c,lipolase,aex,Express-Ion Q,6.6302,0.1508250128201261,3.536,1.262996144775397,5.016120309326829
1,c,lipolase,aex,Express-Ion Q,5.6743,0.17623319175933597,1.1825,0.16763084138395107,5.171808071240284
1,c,lipolase,aex,Express-Ion Q,4.9999,0.2000040000800016,0.5582,-0.5830379578799152,5.298337366748039
1,c,lipolase,aex,Express-Ion Q,4.4263,0.2259223279036667,0.16871,-1.7795740143642536,5.4201912583579634
1,c,lipolase,aex,Express-Ion Q,3.9688,0.2519653295706511,0.09559,-2.347687066906466,5.529291496977435
1,c,lipolase,aex,Fractogel EMD TMAE 650s,8.6625,0.11544011544011544,4.7031,1.548221865760458,4.748751914466116
1,c,lipolase,aex,Fractogel EMD TMAE 650s,7.9462,0.12584631647831668,2.7753,1.0207588494632456,4.835061452009683
1,c,lipolase,aex,Fractogel EMD TMAE 650s,7.3744,0.13560425254935995,1.8496,0.6149693994959212,4.909740735998031
1,c,lipolase,aex,Fractogel EMD TMAE 650s,6.4263,0.15561053794562968,0.986,-0.014098924379501648,5.047356334037394
1,c,lipolase,aex,Fractogel EMD TMAE 650s,5.6996,0.17545090883570777,0.6841,-0.37965117321518466,5.16735928204264
1,c,lipolase,aex,Fractogel EMD TMAE 650s,5.1145,0.19552253397204028,0.5471,-0.6031236779123568,5.275675636067212
1,c,lipolase,aex,Fractogel EMD TMAE 650s,4.668,0.21422450728363324,0.42873,-0.846927928820324,5.367024564557828
1,c,lipolase,aex,Macro-Prep 25Q,5.7584,0.17365934981939427,5.299,1.6675181235106251,5.157095620639508
1,c,lipolase,aex,Macro-Prep 25Q,5.134,0.19477989871445264,3.0024,1.099411968838674,5.271870196533189
1,c,lipolase,aex,Macro-Prep 25Q,4.682,0.2135839384878257,1.6337,0.49084738105032577,5.364029909913418
1,c,lipolase,aex,Macro-Prep 25Q,4.2709,0.23414268655318551,1.0039,0.0038924147153438535,5.455930701117353
1,c,lipolase,aex,Macro-Prep 25Q,3.9409,0.25374914359664036,0.6556,-0.4222044321124625,5.536346155361692
1,c,lipolase,aex,Macro-Prep 25Q,3.6575,0.27341079972658916,0.44587,-0.8077278492712003,5.610975425069995
1,c,lipolase,aex,Poros QE/M,3.6756,0.27206442485580584,4.0618,1.4016262251168723,5.606038894337544
1,c,lipolase,aex,Poros QE/M,3.3728,0.29648956356736245,2.7622,1.0160274636616913,5.692012019057286
1,c,lipolase,aex,Poros QE/M,3.0954,0.32306002455256183,2.0371,0.7115272278413749,5.777838140485615
1,c,lipolase,aex,Poros QE/M,2.9062,0.34409194136673316,1.5333,0.4274222754602066,5.840908893077678
1,c,lipolase,aex,Poros QE/M,2.6979,0.37065866043960116,1.1776,0.16347846899247473,5.915281586375695
1,c,lipolase,aex,Poros QE/M,2.5191,0.3969671708149736,0.9419,-0.05985616715336565,5.9838535841066465
1,c,lipolase,aex,Poros QE/M,2.379,0.4203446826397646,0.7689,-0.2627943569440019,6.041075047661316
1,c,lipolase,aex,Q HyperD 20,6.9467,0.14395324398635323,6.114,1.8105812234686427,4.969488552312102
