,resin,tis_M,kprime
153,Express-Ion Q,0.05486366379546826,0.7856
154,Express-Ion Q,0.08002752947013773,0.27072
155,Express-Ion Q,0.10471642791321102,0.12428
156,Express-Ion Q,0.12875481221110638,0.05046
157,Fractogel EMD TMAE 650s,0.02991951650061335,4.3024
158,Fractogel EMD TMAE 650s,0.03493083694285315,2.3269
159,Fractogel EMD TMAE 650s,0.039858105145681375,1.3383
160,Fractogel EMD TMAE 650s,0.04495392222971454,0.8884
161,Fractogel EMD TMAE 650s,0.04982561036372696,0.6806
162,Fractogel EMD TMAE 650s,0.0549178977428744,0.5006
163,Macro-Prep 25Q,0.030050785828049403,7.794
164,Macro-Prep 25Q,0.034905232294320916,3.2295
165,Macro-Prep 25Q,0.03984539984858748,1.5446
166,Macro-Prep 25Q,0.04496605063177301,0.7856
167,Macro-Prep 25Q,0.049571209041788536,0.5323
168,Macro-Prep 25Q,0.05496015388843089,0.35334
169,Macro-Prep 25Q,0.05996318260587999,0.1557
170,Poros QE/M,0.03002011347602894,0.9642
171,Poros QE/M,0.034804399276068494,0.9255
172,Poros QE/M,0.04013646397752358,0.7697
173,Q HyperD 20,0.04023011626503601,3.4342
174,Q HyperD 20,0.04980079681274901,0.8527
175,Q HyperD 20,0.05956280898207159,0.24436
176,Q Sepharose FF,0.030032735681893265,10.172
177,Q Sepharose FF,0.03489427036080675,3.7275
178,Q Sepharose FF,0.04028684231729917,1.8197
179,Q Sepharose FF,0.04468075599839149,1.0682
180,Q Sepharose FF,0.04981568197668626,0.7388
181,Q Zirconia,0.07731799344343415,3.9638
182,Q Zirconia,0.0868455105213336,1.2845
183,Q Zirconia,0.0919971664872722,0.9067
184,Q Zirconia,0.09636046522832611,0.6144
185,Q Zirconia,0.10205331265052864,0.48046
186,Q Zirconia,0.10685473099321473,0.38352
187,Q Zirconia,0.11646595700076867,0.25985
188,Source 30Q,0.029763676409310078,3.5053
189,Source 30Q,0.04010266281681104,1.1129
190,Source 30Q,0.05012028869286286,0.6144
191,Source 30Q,0.0598254293970195,0.43368
192,Source 30Q,0.06940733080227933,0.30613
193,TSK-Gel Q-5PW-HR,0.040052869788120324,1.9351
194,TSK-Gel Q-5PW-HR,0.05008765339343852,0.8354
195,TSK-Gel Q-5PW-HR,0.060149652335009504,0.4904
196,TSK-Gel Q-5PW-HR,0.070194649763795,0.31894
197,TSK-Gel Q-5PW-HR,0.07960642583069305,0.22514
198,TSK-Gel Q-5PW-HR,0.08976096654608776,0.16557
319,Poros 50 HQ,0.029639289842615373,10.975
320,Poros 50 HQ,0.03438080176029705,4.8335
321,Poros 50 HQ,0.03963378383734295,2.5999
322,Poros 50 HQ,0.044152059693584704,1.7082
323,Poros 50 HQ,0.049443757725587144,1.2404
324,Poros 50 HQ,0.054130128829706615,0.9757
325,Q Sepharose HP,0.029488956385833504,9.167
326,Q Sepharose HP,0.03439262622093823,4.2868
327,Q Sepharose HP,0.039647926413448574,2.3059
328,Q Sepharose HP,0.04441878026029405,1.485
329,Q Sepharose HP,0.04946821667078902,1.0569
330,Q Sepharose XL,0.03446849579484351,13.677
331,Q Sepharose XL,0.03927575507639135,8.462
332,Q Sepharose XL,0.044489923032433154,5.787
333,Q Sepharose XL,0.04954419342053111,4.2019
334,Q Sepharose XL,0.05424758598242378,3.1757
335,Q Sepharose XL,0.059383480703337946,2.5485
336,Q Sepharose XL,0.06917782159039812,1.7779
337,Q-Cellthru Bigbeads Plus,0.029792051480664956,0.28801
338,Q-Cellthru Bigbeads Plus,0.03470896532574364,0.19305
339,Q-Cellthru Bigbeads Plus,0.03951475876239776,0.16124
340,Q-Cellthru Bigbeads Plus,0.049571209041788536,0.07848
341,Q-Cellthru Bigbeads Plus,0.07922737464248647,0.029451
342,Separon HemaBio 1000Q,0.03208727739451308,1.2654
343,Separon HemaBio 1000Q,0.034749973937519545,0.8653
344,Separon HemaBio 1000Q,0.03913587977457733,0.6283
345,Toyopearl QAE 550c,0.04948780125699015,0.9188
346,Toyopearl QAE 550c,0.05964380718350013,0.58
347,Toyopearl QAE 550c,0.06910420222653739,0.38108
348,Toyopearl QAE 550c,0.07915212246416388,0.27123
349,Toyopearl QAE 550c,0.0891416550039668,0.19695
350,Toyopearl SuperQ 650c,0.029445540472895382,15.115
351,Toyopearl SuperQ 650c,0.03455425017277125,5.904
352,Toyopearl SuperQ 650c,0.03938248267170762,3.3721
353,Toyopearl SuperQ 650c,0.0446149727848666,2.2155
354,Toyopearl SuperQ 650c,0.049407114624505935,1.6087
355,UNO Q-1,0.02947678703021371,1.5769
356,UNO Q-1,0.03933136676499508,0.783
357,UNO Q-1,0.04958595725690484,0.47487
358,UNO Q-1,0.059725025980386294,0.36614
359,UNO Q-1,0.06915342378601165,0.29976
360,UNO Q-1,0.07918534120963527,0.23579
787,DEAE Ceramic HyperD 20,0.040534983446682715,5.776
788,DEAE Ceramic HyperD 20,0.05036629443713588,1.742
789,DEAE Ceramic HyperD 20,0.0608639312000994,0.8936
790,DEAE Ceramic HyperD 20,0.07075709594012891,0.14349
791,DEAE Ceramic HyperD 20,0.0907360773152903,0.039233
792,DEAE Sepharose FF,0.03067114576613868,1.914
793,DEAE Sepharose FF,0.0405816779453537,0.746
794,DEAE Sepharose FF,0.050409222612149175,0.39813
795,DEAE Sepharose FF,0.06043520505557424,0.22095
796,Fractogel EMD DEAE (M),0.030717792330894323,0.13698
797,Fractogel EMD DEAE (M),0.04066680001225866,0.019567
798,MacroPrep DEAE Support,0.030720621674416842,0.11474
799,MacroPrep DEAE Support,0.040637782351992405,0.06761
800,MacroPrep DEAE Support,0.05067572841772825,0.038278
801,MacroPrep DEAE Support,0.06051875707932982,0.019251
802,Poros 50 D,0.030562579066168015,0.9611
803,Poros 50 D,0.04058915405524256,0.5553
804,Poros 50 D,0.050410383340757876,0.3753
805,Toyopearl DEAE 650 M,0.030541474474586557,3.2561
806,Toyopearl DEAE 650 M,0.04074178006422707,0.7608
807,Toyopearl DEAE 650 M,0.05060809618661875,0.39038
808,Toyopearl DEAE 650 M,0.06066944191752197,0.24865
809,Toyopearl DEAE 650 M,0.07047092953115162,0.1747
