,resin,tis_M,kprime
375,SP Sepharose BB,0.29367704390795407,8.417
376,SP Sepharose BB,0.3178556971499816,5.662
377,SP Sepharose BB,0.3459951411598073,3.4272
378,SP Sepharose BB,0.370279782537947,2.3673
379,SP Sepharose BB,0.39403064537737437,1.77
380,SP Sepharose XL,0.29211240476828637,5.235
381,SP Sepharose XL,0.3073689545775859,3.713
382,SP Sepharose XL,0.31796549957959497,3.2531
383,SP Sepharose XL,0.34215272248772804,2.8494
384,SP Sepharose XL,0.36619296775290966,1.8184
385,SP Sepharose XL,0.4169845846526065,1.1002
386,Source 30S,0.2698112164667873,12.513
387,Source 30S,0.2937040938089672,7.185
388,Source 30S,0.31969805935019735,4.465
389,Source 30S,0.3440725293018625,3.084
390,Source 30S,0.3682307054910995,2.0748
391,TSKGel SP-5PW-HR20,0.29537245998459893,6.815
392,TSKGel SP-5PW-HR20,0.3196906981150898,4.707
393,TSKGel SP-5PW-HR20,0.34213696613536776,3.0842
394,TSKGel SP-5PW-HR20,0.36822222676338234,2.1303
395,TSKGel SP-5PW-HR20,0.3896368287770522,1.5928
396,Toyopearl SP 550c,0.4187549945813812,10.93
397,Toyopearl SP 550c,0.4431492309931593,6.976
398,Toyopearl SP 550c,0.46894293796785413,4.819
399,Toyopearl SP 550c,0.4906253681833185,3.7987
400,Toyopearl SP 550c,0.5162499231327473,2.7665
401,Toyopearl SP 650c,0.19797483970457347,7.597
402,Toyopearl SP 650c,0.20828596177267245,6.655
403,Toyopearl SP 650c,0.21917448764723033,4.598
404,Toyopearl SP 650c,0.2453804734066563,3.0115
405,Toyopearl SP 650c,0.26708530878171177,1.973
489,CM Ceramic HyperD F,0.34323376167169967,19.306
490,CM Ceramic HyperD F,0.355508509072744,15.49
491,CM Ceramic HyperD F,0.36821374823089287,10.832
492,CM Ceramic HyperD F,0.3904181507066163,8.453
493,CM Ceramic HyperD F,0.44668359215096315,4.365
494,CM Sepharose FF,0.2415738940659219,3.5205
495,CM Sepharose FF,0.2668517160641534,1.9748
496,CM Sepharose FF,0.3180826639798568,0.5882
497,CM Sepharose FF,0.3452550184670483,0.27981
498,CM Toyopearl 650m,0.24299089463378964,8.485
499,CM Toyopearl 650m,0.26841698881293896,5.613
500,CM Toyopearl 650m,0.29305558331189135,3.2368
501,CM Toyopearl 650m,0.3180826639798568,1.8665
502,CM Toyopearl 650m,0.3703735804940492,1.1365
503,CM Toyopearl 650m,0.4188224953517242,0.6922
504,Heparin Ceramic HyperD M,0.2186905415296018,2.8276
505,Heparin Ceramic HyperD M,0.24299089463378964,1.8705
506,Heparin Ceramic HyperD M,0.26841698881293896,1.3438
507,Heparin Ceramic HyperD M,0.3199484422222912,0.8181
508,Heparin Ceramic HyperD M,0.36821374823089287,0.4847
509,Heparin Sepharose FF,0.19452704965429624,1.1742
510,Heparin Sepharose FF,0.2186905415296018,0.7556
511,Heparin Sepharose FF,0.24585554060221282,0.5428
512,Heparin Sepharose FF,0.26841698881293896,0.5134
513,Heparin Sepharose FF,0.3180826639798568,0.31254
514,Heparin Toyopearl 650m,0.16903241641536232,6.118
515,Heparin Toyopearl 650m,0.19339266583204973,3.937
516,Heparin Toyopearl 650m,0.21741524838743784,2.4646
517,Heparin Toyopearl 650m,0.24299089463378964,1.6757
518,Heparin Toyopearl 650m,0.2668517160641534,1.2719
519,Heparin Toyopearl 650m,0.2965036199894983,1.0484
520,S Ceramic HyperD 20,0.26999765984012103,13.907
521,S Ceramic HyperD 20,0.29305558331189135,9.201
522,S Ceramic HyperD 20,0.3180826639798568,6.432
523,S Ceramic HyperD 20,0.3452550184670483,4.496
524,S Ceramic HyperD 20,0.36821374823089287,3.5087
525,S Ceramic HyperD 20,0.39501173697454,2.8144
526,SP Sepharose FF,0.3180826639798568,5.022
527,SP Sepharose FF,0.34323376167169967,3.4155
528,SP Sepharose FF,0.36821374823089287,2.5227
529,SP Sepharose FF,0.39501173697454,1.8633
530,SP Sepharose FF,0.4188224953517242,1.4947
531,SP Sepharose FF,0.44668359215096315,1.1348
532,SP Toyopearl 650m,0.2199733151617981,7.005
533,SP Toyopearl 650m,0.24442183486121455,3.823
534,SP Toyopearl 650m,0.29305558331189135,1.6278
535,SP Toyopearl 650m,0.3218325749482017,1.1069
623,CM Hyper Z,0.2682686970815172,10.77
624,CM Hyper Z,0.294706693610353,4.8068
625,CM Hyper Z,0.31996317673183494,3.4549
626,CM Hyper Z,0.3684088038787138,1.7526
627,CM Hyper Z,0.41922772853020623,0.7136
628,CM Hyper Z,0.5179525791688487,0.40392
629,Fractogel EMD COO- (M),0.16867083698166987,8.826
630,Fractogel EMD COO- (M),0.19535296176903333,4.1605
631,Fractogel EMD COO- (M),0.21841879157731944,2.3134
632,Fractogel EMD COO- (M),0.26984849483892426,1.051
633,Fractogel EMD COO- (M),0.31996317673183494,0.48638
634,Fractogel EMD SE Hicap (M),0.24420806361001293,3.5238
635,Fractogel EMD SE Hicap (M),0.2964421811224015,1.5434
636,Fractogel EMD SE Hicap (M),0.31996317673183494,1.1507
637,Fractogel EMD SE Hicap (M),0.34332861376856216,0.7687
638,Fractogel EMD SE Hicap (M),0.39299769213139585,0.28558
639,Fractogel EMD SO3-,0.3684088038787138,3.5812
640,Fractogel EMD SO3-,0.41922772853020623,2.0279
641,Fractogel EMD SO3-,0.4687270314822895,1.2358
642,Fractogel EMD SO3-,0.5210027312436751,0.7812
643,Fractogel EMD SO3-,0.568983929152867,0.5123
644,MacroPrep 25S,0.568983929152867,3.639
645,MacroPrep 25S,0.5928707166542809,2.8671
646,MacroPrep 25S,0.6177603068499417,2.3007
647,MacroPrep 25S,0.6474705210016574,2.0606
648,MacroPrep 25S,0.6907008651659308,1.4543
649,MacroPrep CM,0.568983929152867,1.4294
650,MacroPrep CM,0.6177603068499417,1.1467
651,MacroPrep CM,0.6707026155974513,0.937
652,MacroPrep CM,0.7722537039869224,0.7245
653,MacroPrep High S,0.5428626970202342,3.0305
654,MacroPrep High S,0.568983929152867,2.3876
655,MacroPrep High S,0.5893998215167636,1.847
656,MacroPrep High S,0.6177603068499417,1.5095
657,MacroPrep High S,0.6436799774313618,1.3034
658,MacroPrep High S,0.6667760623341455,1.0459
659,Matrex Cellufine C-500,0.21841879157731944,2.7281
660,Matrex Cellufine C-500,0.24420806361001293,1.9605
661,Matrex Cellufine C-500,0.26984849483892426,1.409
662,Matrex Cellufine C-500,0.294706693610353,0.9943
663,Matrex Cellufine C-500,0.31808998818818374,0.6172
