,resin,tis_M,kprime
442,Poros 50 HS,0.09404159794456082,2.8148
443,Poros 50 HS,0.11905290580769431,1.4094
444,Poros 50 HS,0.14409867916197247,0.8277
445,Poros 50 HS,0.1695625737504226,0.4149
446,SP Sepharose BB,0.0934135764759714,0.4779
447,SP Sepharose BB,0.1189077058180968,0.18857
448,Source 30S,0.05861786549025024,2.0638
449,Source 30S,0.07848741034887301,0.7717
450,Source 30S,0.09825394572822461,0.4075
451,Source 30S,0.11826602496486603,0.26603
452,TSKGel SP-5PW-HR20,0.06895249730975739,0.6093
453,TSKGel SP-5PW-HR20,0.0938858191873097,0.18431
454,Toyopearl SP 550c,0.11833684873524307,0.7083
455,Toyopearl SP 550c,0.14323198147286706,0.416
456,Toyopearl SP 550c,0.16855436352834993,0.23801
457,Toyopearl SP 550c,0.19283683728055317,0.11936
458,Toyopearl SP 650c,0.028690624400687637,1.8769
459,Toyopearl SP 650c,0.03842111817140287,0.8673
460,Toyopearl SP 650c,0.048911389425855004,0.3906
461,Toyopearl SP 650c,0.05854098156008867,0.2419
462,Toyopearl SP 650c,0.07882246275836284,0.08136
573,Heparin Sepharose FF,0.14378712494991674,0.12956
574,Heparin Sepharose FF,0.16934797192726217,0.09098
575,Heparin Sepharose FF,0.1948722501977469,0.08023
576,Heparin Sepharose FF,0.2203027913902126,0.05874
577,Heparin Toyopearl 650m,0.06928671959666474,0.9323
578,Heparin Toyopearl 650m,0.09332972797354301,0.42336
579,Heparin Toyopearl 650m,0.11789896701716368,0.24153
580,Heparin Toyopearl 650m,0.1429585057070478,0.14075
581,Heparin Toyopearl 650m,0.1683410377164401,0.08037
582,S Ceramic HyperD 20,0.06890646967113334,1.4101
583,S Ceramic HyperD 20,0.09381018663702376,0.18131
584,SP Sepharose FF,0.09396583990200354,1.2668
585,SP Sepharose FF,0.11868887134528704,0.6384
586,SP Sepharose FF,0.14390636391607564,0.34248
587,SP Sepharose FF,0.1684961569661228,0.23558
588,SP Sepharose FF,0.1938384819693123,0.15233
589,SP Toyopearl 650m,0.028823054305877418,3.1267
590,SP Toyopearl 650m,0.04362244462314798,0.7165
591,SP Toyopearl 650m,0.06881450654742012,0.29283
592,SP Toyopearl 650m,0.11856322393532263,0.18458
