,c_load,keq,fVolum,Dp,d_part,l_col,file_name
0,2e-05,10000.0,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_1.00e+04_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
1,2e-05,7498.942093324558,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_7.50e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
2,2e-05,4216.965034285822,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_4.22e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
3,2e-05,3162.2776601683795,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_3.16e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
4,2e-05,3162.2776601683795,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_3.16e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
5,2e-05,2371.373705661655,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_2.37e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
6,2e-05,2371.373705661655,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_2.37e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
7,2e-05,1778.2794100389228,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_1.78e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
8,2e-05,1778.2794100389228,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_1.78e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
9,2e-05,1778.2794100389228,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_1.78e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
10,2e-05,1778.2794100389228,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_1.78e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
11,2e-05,1333.521432163324,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_1.33e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
12,2e-05,1333.521432163324,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_1.33e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
13,2e-05,1333.521432163324,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_1.33e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
14,2e-05,1333.521432163324,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_1.33e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
15,2e-05,1000.0,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_1.00e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
16,2e-05,1000.0,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_1.00e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
17,2e-05,1000.0,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_1.00e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
18,2e-05,1000.0,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_1.00e+03_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
19,2e-05,749.8942093324558,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_7.50e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
20,2e-05,749.8942093324558,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_7.50e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
21,2e-05,749.8942093324558,5.443333333333334e-09,5e-12,7e-05,0.2,cload_2.0e-05_keq_7.50e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_7.0e-05_lcol_2.0e-01.h5
22,2e-05,749.8942093324558,5.443333333333334e-09,5e-12,5e-06,0.2,cload_2.0e-05_keq_7.50e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_5.0e-06_lcol_2.0e-01.h5
23,2e-05,562.341325190349,5.443333333333334e-09,5e-12,0.0002,0.2,cload_2.0e-05_keq_5.62e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_2.0e-04_lcol_2.0e-01.h5
24,2e-05,562.341325190349,5.443333333333334e-09,5e-12,0.000135,0.2,cload_2.0e-05_keq_5.62e+02_fVolum_5.4e-09_Dp_5.0e-12_dpart_1.4e-04_lcol_2.0e-01.h5
