"protein","buffer","iex_type","resin","log[NaCl]","log_kprime"
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-2,2.17615034272109
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-1.60205999132796,1.51419525189079
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-1.30102999566398,0.802564308998324
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-1.1249387366083,0.190617512252278
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-1,-0.02743824834694
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-0.698970004336019,-0.243038048686294
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl SuperQ 650m",-0.522878745280338,-0.611014833980889
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl DEAE 650 M",-2,0.924887116086788
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl DEAE 650 M",-1.60205999132796,0.4323089103033
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl DEAE 650 M",-1.30102999566398,-0.151267675330649
"alpha-lactalbumin","Bis-Tis Propane","aex","Toyopearl DEAE 650 M",-1.1249387366083,-0.49008623188403
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-2,1.62075072836945
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-1.69897000433602,1.15963011188349
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-1.30102999566398,0.437114511641829
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-1,-0.117440214044951
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-0.823908740944319,-0.56032327159357
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-0.522878745280338,-0.851637101795262
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD TMAE",-0.397940008672038,-0.979434550962937
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-1.52287874528034,1.66331284067967
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-1.22184874961636,1.07274713604221
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-1,0.571366247203163
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-0.823908740944319,0.118245268887267
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-0.698970004336019,-0.197830160527554
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DEAE (M)",-0.522878745280338,-0.583065951263654
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-1.69897000433602,1.67668305171163
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-1.30102999566398,0.906586338680167
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-1,0.348938577729636
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-0.823908740944319,-0.061877955013178
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-0.698970004336019,-0.324734035297611
"alpha-lactalbumin","Bis-Tis Propane","aex","Fractogel EMD DMAE (M)",-0.522878745280338,-0.568302034607204
