,IS [mM],kprime,resin,iex_type,protein
4,135.0,45.68845679465696,SP Sepharose FF,cex,cytochrome c
6,160.0,17.450444316242223,SP Sepharose FF,cex,cytochrome c
7,185.0,7.864235119722443,SP Sepharose FF,cex,cytochrome c
8,210.0,4.11923424456363,SP Sepharose FF,cex,cytochrome c
9,235.0,2.3613289372227606,SP Sepharose FF,cex,cytochrome c
10,260.0,1.526709785644027,SP Sepharose FF,cex,cytochrome c
12,310.0,0.7529852851055996,SP Sepharose FF,cex,cytochrome c
13,360.0,0.4653572552581614,SP Sepharose FF,cex,cytochrome c
14,410.0,0.3549984765111735,SP Sepharose FF,cex,cytochrome c
15,460.0,0.27907857018178844,SP Sepharose FF,cex,cytochrome c
16,510.0,0.2627885806659544,SP Sepharose FF,cex,cytochrome c
24,185.0,77.27517857457939,SP Spherodex M,cex,cytochrome c
25,210.0,34.82491117222708,SP Spherodex M,cex,cytochrome c
26,235.0,19.665274699527565,SP Spherodex M,cex,cytochrome c
27,260.0,11.972091222906847,SP Spherodex M,cex,cytochrome c
28,285.0,7.62500297287981,SP Spherodex M,cex,cytochrome c
29,310.0,5.235522343328353,SP Spherodex M,cex,cytochrome c
30,360.0,2.9564464520206877,SP Spherodex M,cex,cytochrome c
31,410.0,1.8829553305344968,SP Spherodex M,cex,cytochrome c
32,460.0,1.2928555893650366,SP Spherodex M,cex,cytochrome c
33,510.0,0.9148291982057749,SP Spherodex M,cex,cytochrome c
34,60.0,106.07731491567235,SP-650 M,cex,cytochrome c
35,85.0,19.684415252284634,SP-650 M,cex,cytochrome c
37,110.0,5.400606292616918,SP-650 M,cex,cytochrome c
38,135.0,2.0627306325277366,SP-650 M,cex,cytochrome c
40,160.0,0.8493809534169124,SP-650 M,cex,cytochrome c
41,185.0,0.44490011510725724,SP-650 M,cex,cytochrome c
42,210.0,0.26681025512101725,SP-650 M,cex,cytochrome c
43,235.0,0.1804648056380225,SP-650 M,cex,cytochrome c
44,260.0,0.13561337305009116,SP-650 M,cex,cytochrome c
