x,Macro-Prep 25Q
6.6278,0.23746
7.5952,0.3442
9.0565,0.5825
10.9207,1.3468
14.0881,14.351
19.439,1198.1

x,TSK-Gel Q-5PW-HR
8.2261,0.21504
9.3742,0.25848
10.9257,0.496
12.3113,0.4645
14.1086,0.6326
16.4457,0.9455

x,Poros QE/M
7.6389,0.31335
9.0058,0.4984
11.047,1.0166
14.0181,3.2075

x,Q Sepharose FF
10.9997,0.05078
12.3887,0.13324
14.1103,0.4928
19.61,1.5511

x,Q HyperD 20
14.1154,0.22578
16.5416,0.7138
19.603,3.385
24.307,22.606

x,Q Zirconia
9.8709,0.09214
11.0574,0.13363
12.3166,0.18209
14.1944,0.28089
16.5455,0.4332
19.729,0.7331
24.477,1.449

x,Source 30Q
9.0222,0.010066
12.4622,0.08085
14.1211,0.0942
16.4606,0.13648
19.741,0.18563

x,Fractogel EMD TMAE 650s
12.3798,0.6151
14.0274,0.763
16.4364,3.1945
17.887,14.716
19.578,51.18

x,Express-Ion Q
5.5293,0.05675
7.6422,0.12283
9.4267,0.32157
12.3784,0.7897
17.894,5.769
