x,Q Sepharose XL
3.3609,0.08763
3.5986,0.15422
3.8752,0.29423
4.1975,0.6465
4.5999,1.8839
5.042,6.322
5.6198,19.185

x,UNO Q-1
4.4853,0.2947
4.9391,0.49831
5.6934,1.4239
5.9584,2.007
6.7981,10.932
7.3574,13.658

x,Poros 50 HQ
3.5995,0.18491
3.9631,0.28267
4.4153,0.6339
4.9486,1.8478
5.33,3.9786
5.6127,8.226

x,Toyopearl QAE 550c
3.0538,0.0745
3.3071,0.14214
3.6024,0.31869
3.9683,0.6864
4.3476,1.6682

x,Separon HemaBio 1000Q
5.9439,0.38419
6.7749,1.0758
7.2991,2.8338
7.8625,6.614
8.6608,13.961

x,Q-Cellthru Bigbeads Plus
12.0309,0.038102
12.8165,0.09835

x,Q Sepharose HP
4.3727,1.8085
4.6027,2.8196
4.8451,4.5769
5.1002,7.43
5.3719,17.69

x,Toyopearl SuperQ 650c
7.296,0.047304
7.7803,0.24235
8.4301,0.6647
8.8249,1.1233
9.2392,2.0578
9.7842,4.2549
10.2567,18.548
