resin,protein,tis_M,kprime,ln(kprime),ln(tis_mM)
Express-Ion Q,anti-FVII mAb,0.12528816277438107,3.5945,1.2794048994417893,4.8306163863649765
Express-Ion Q,anti-FVII mAb,0.13612665223724152,1.0989,0.09430967947074131,4.913585718826784
Express-Ion Q,anti-FVII mAb,0.1513454611496201,0.30333,-1.1929339572107196,5.019565045917418
Express-Ion Q,anti-FVII mAb,0.16580723251148213,0.038518,-3.256629614480117,5.1108258636525745
Fractogel EMD TMAE 650s,anti-FVII mAb,0.1351753223931439,11.52,2.444084655267745,4.906572620270913
Fractogel EMD TMAE 650s,anti-FVII mAb,0.1450705042650728,4.8836,1.5858826528125634,4.977219860556852
Fractogel EMD TMAE 650s,anti-FVII mAb,0.15467664846638104,2.756,1.013780353151412,5.041336798973844
Fractogel EMD TMAE 650s,anti-FVII mAb,0.16592002654720425,1.3758,0.31903538010977667,5.11150590448123
Fractogel EMD TMAE 650s,anti-FVII mAb,0.17482517482517484,0.9143,-0.08959653381175617,5.163786473590431
Fractogel EMD TMAE 650s,anti-FVII mAb,0.1951638400437167,0.42931,-0.8455760102889314,5.2738394111412115
Macro-Prep 25Q,anti-FVII mAb,0.19343482213668106,8.479,2.137592518321866,5.264940619224739
Macro-Prep 25Q,anti-FVII mAb,0.213656952397231,3.1154,1.1363575549103684,5.364371702619471
Macro-Prep 25Q,anti-FVII mAb,0.23447758394297505,1.493,0.4007875185570534,5.457359992455723
Macro-Prep 25Q,anti-FVII mAb,0.2542459066409031,0.8958,-0.11003810520893731,5.538301935058273
Macro-Prep 25Q,anti-FVII mAb,0.27402515550927575,0.6076,-0.4982385082605192,5.6132199106019485
Poros QE/M,anti-FVII mAb,0.3194071802734126,3.9811,1.38155816301945,5.766466716033591
Poros QE/M,anti-FVII mAb,0.34037918240920384,2.7002,0.9933258443410088,5.830060238569415
Poros QE/M,anti-FVII mAb,0.3626341746446185,1.9875,0.68687756754635,5.893394542761619
Poros QE/M,anti-FVII mAb,0.3796218965909954,1.7226,0.5438347773729362,5.939175748399328
Poros QE/M,anti-FVII mAb,0.39508514084785273,1.6202,0.4825495984142539,5.979101288124584
Poros QE/M,anti-FVII mAb,0.3997441637352095,1.4332,0.3599097064486617,5.990824751820643
Poros QE/M,anti-FVII mAb,0.418532624618089,1.1925,0.17605194378035913,6.036754842967789
Q HyperD 20,anti-FVII mAb,0.14959086897335788,15.024,2.709648922465907,5.007904027403242
Q HyperD 20,anti-FVII mAb,0.17407955435634084,3.8217,1.3406953498017138,5.159512403670854
Q HyperD 20,anti-FVII mAb,0.18366822172427724,1.6202,0.4825495984142539,5.213130987187314
Q HyperD 20,anti-FVII mAb,0.19364458472918802,0.8777,-0.1304504293840651,5.2660244413517745
Q HyperD 20,anti-FVII mAb,0.20422750944552232,0.42931,-0.8455760102889314,5.319234614803425
Q HyperD 20,anti-FVII mAb,0.21556834594408159,0.15774,-1.8468071710122922,5.37327800981478
Q HyperD 20,anti-FVII mAb,0.22416498542927593,0.028936,-3.5426687843323403,5.4123823228360095
Q Sepharose FF,anti-FVII mAb,0.19455631432518142,8.139,2.096667322344904,5.270721654957238
Q Sepharose FF,anti-FVII mAb,0.2027246188777165,5.087,1.6266882658406279,5.311848500832388
Q Sepharose FF,anti-FVII mAb,0.21380313007782434,2.4883,0.9115997463860316,5.36505563869811
Q Sepharose FF,anti-FVII mAb,0.22408461435037869,1.4628,0.38035240729308917,5.4120237231638715
Q Sepharose FF,anti-FVII mAb,0.23350301218885722,0.8958,-0.11003810520893731,5.453194977192157
Q Sepharose FF,anti-FVII mAb,0.24335044898157837,0.5266,-0.6413140319199281,5.494502581281165
Q Zirconia,anti-FVII mAb,0.1246711797633741,18.811,2.9344418051108834,4.825679709401658
Q Zirconia,anti-FVII mAb,0.13545546901456146,5.751,1.749373752731617,4.908642944346196
Q Zirconia,anti-FVII mAb,0.1495640208791373,2.3887,0.870749284903777,5.007724534470294
Q Zirconia,anti-FVII mAb,0.1559478510386127,1.1925,0.17605194378035913,5.049521663148756
Q Zirconia,anti-FVII mAb,0.17527254881340484,0.38761,-0.9477555995047332,5.166342184190821
Q Zirconia,anti-FVII mAb,0.2018000565040158,0.07875,-2.5414770012763945,5.307277387919548
Source 30Q,anti-FVII mAb,0.14464662828709463,13.022,2.5666402348146704,4.974293721693818
Source 30Q,anti-FVII mAb,0.15522647542764895,5.635,1.7289971474917396,5.044885182296129
Source 30Q,anti-FVII mAb,0.16553550736633008,2.9907,1.0955074737146309,5.109185717825532
Source 30Q,anti-FVII mAb,0.17444091686145904,1.9079,0.646003160751128,5.161586098988379
