paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
1,a,anti-FVII mAb,aex,Express-Ion Q,7.9816,0.12528816277438107,3.5945
1,a,anti-FVII mAb,aex,Express-Ion Q,7.3461,0.13612665223724152,1.0989
1,a,anti-FVII mAb,aex,Express-Ion Q,6.6074,0.1513454611496201,0.30333
1,a,anti-FVII mAb,aex,Express-Ion Q,6.0311,0.16580723251148213,0.038518
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,7.3978,0.1351753223931439,11.52
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.8932,0.1450705042650728,4.8836
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.4651,0.15467664846638104,2.756
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,6.027,0.16592002654720425,1.3758
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,5.72,0.17482517482517484,0.9143
1,a,anti-FVII mAb,aex,Fractogel EMD TMAE 650s,5.1239,0.1951638400437167,0.42931
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,5.1697,0.19343482213668106,8.479
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,4.6804,0.213656952397231,3.1154
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,4.2648,0.23447758394297505,1.493
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,3.9332,0.2542459066409031,0.8958
1,a,anti-FVII mAb,aex,Macro-Prep 25Q,3.6493,0.27402515550927575,0.6076
1,a,anti-FVII mAb,aex,Poros QE/M,3.1308,0.3194071802734126,3.9811
1,a,anti-FVII mAb,aex,Poros QE/M,2.9379,0.34037918240920384,2.7002
1,a,anti-FVII mAb,aex,Poros QE/M,2.7576,0.3626341746446185,1.9875
1,a,anti-FVII mAb,aex,Poros QE/M,2.6342,0.3796218965909954,1.7226
1,a,anti-FVII mAb,aex,Poros QE/M,2.5311,0.39508514084785273,1.6202
1,a,anti-FVII mAb,aex,Poros QE/M,2.5016,0.3997441637352095,1.4332
1,a,anti-FVII mAb,aex,Poros QE/M,2.3893,0.418532624618089,1.1925
1,a,anti-FVII mAb,aex,Q HyperD 20,6.6849,0.14959086897335788,15.024
1,a,anti-FVII mAb,aex,Q HyperD 20,5.7445,0.17407955435634084,3.8217
1,a,anti-FVII mAb,aex,Q HyperD 20,5.4446,0.18366822172427724,1.6202
1,a,anti-FVII mAb,aex,Q HyperD 20,5.1641,0.19364458472918802,0.8777
1,a,anti-FVII mAb,aex,Q HyperD 20,4.8965,0.20422750944552232,0.42931
1,a,anti-FVII mAb,aex,Q HyperD 20,4.6389,0.21556834594408159,0.15774
1,a,anti-FVII mAb,aex,Q HyperD 20,4.461,0.22416498542927593,0.028936
1,a,anti-FVII mAb,aex,Q Sepharose FF,5.1399,0.19455631432518142,8.139
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.9328,0.2027246188777165,5.087
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.6772,0.21380313007782434,2.4883
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.4626,0.22408461435037869,1.4628
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.2826,0.23350301218885722,0.8958
1,a,anti-FVII mAb,aex,Q Sepharose FF,4.1093,0.24335044898157837,0.5266
1,a,anti-FVII mAb,aex,Q Zirconia,8.0211,0.1246711797633741,18.811
1,a,anti-FVII mAb,aex,Q Zirconia,7.3825,0.13545546901456146,5.751
1,a,anti-FVII mAb,aex,Q Zirconia,6.6861,0.1495640208791373,2.3887
1,a,anti-FVII mAb,aex,Q Zirconia,6.4124,0.1559478510386127,1.1925
