paper,plot_letter,resin,a,b
1,a,Poros QE/M,142223270375.41333,-4.226795011909337
1,a,Source 30Q,5.390567584039679e+18,-8.204895417081708
1,a,Express-Ion Q,1.0239758341859868e+32,-14.992293840427623
1,a,Macro-Prep 25Q,1.3076867165143496e+18,-7.544828219379355
1,a,Q Sepharose FF,1.4820524402929851e+26,-11.062766392455766
1,a,TSK-Gel Q-5PW-HR,7.434580293504378e+20,-9.868406515543844
1,a,Q HyperD 20,2.7890906261334632e+32,-14.280805976350756
1,a,Q Zirconia,4.2899764987453103e+24,-11.170211531613067
1,a,Fractogel EMD TMAE 650s,1.0358263876606763e+20,-8.928643006175559
1,b,Poros QE/M,36774748.745368,-3.8325773740557634
1,b,Source 30Q,447784.00161389983,-3.6573210059021273
1,b,Express-Ion Q,33952801.45888881,-3.943084534120445
1,b,Macro-Prep 25Q,6189993501212215.0,-7.729037346204276
1,b,Q Sepharose FF,15763536753.229954,-5.802723115019677
1,b,TSK-Gel Q-5PW-HR,5104.822341923833,-2.096958027199172
1,b,Q HyperD 20,1424184232222150.8,-8.559965328423138
1,b,Q Zirconia,98032.95221224122,-3.002106009462809
1,b,Fractogel EMD TMAE 650s,2.786539575347284e+18,-9.907846045606535
1,c,Poros QE/M,7159572934.0849695,-3.8046002151179548
1,c,Source 30Q,46040022517015.4,-6.145316976825997
1,c,Express-Ion Q,1.037409449963961e+16,-7.100292388683227
1,c,Macro-Prep 25Q,12819673130664.803,-5.527191752799884
1,c,Q Sepharose FF,9.324018669209132e+29,-13.504727466122267
1,c,TSK-Gel Q-5PW-HR,907484956075.0023,-5.537784192906174
1,c,Q HyperD 20,1.9257583567466656e+19,-8.576258725682287
1,c,Q Zirconia,443095362209601.56,-6.497756331539982
1,c,Fractogel EMD TMAE 650s,254983610.91606382,-3.7949968757501567
1,d,Poros QE/M,13.683206143685865,-0.7726625090500515
1,d,Source 30Q,45359.255901167904,-2.832657029277444
1,d,Express-Ion Q,251239.22047843842,-3.1490384510206306
1,d,Macro-Prep 25Q,681287553.9278445,-5.3870321774739915
1,d,Q Sepharose FF,434476129.6709355,-5.199276607567546
1,d,TSK-Gel Q-5PW-HR,117982.86156490246,-3.010277429493565
1,d,Q HyperD 20,217606684357.10703,-6.728375229119145
1,d,Q Zirconia,6770983609506.661,-6.533955075694743
1,d,Fractogel EMD TMAE 650s,680618.933583524,-3.5417875167221644
2,a,Q-Cellthru Bigbeads Plus,2.0029500211909217e+20,-11.290096747140803
2,a,Q Sepharose HP,1.1015943924646777e+24,-10.087358935877186
2,a,Poros 50 HQ,1.2101164006211571e+20,-8.566775662521325
2,a,Toyopearl QAE 550c,8.269653806603575e+20,-8.768893385179851
2,a,UNO Q-1,7.073016396830829e+18,-8.290582541098535
2,a,Separon HemaBio 1000Q,3.918413197549884e+21,-9.901403081405109
2,a,Q Sepharose XL,2.1794399275850148e+25,-10.70453342443582
2,a,Toyopearl SuperQ 650c,8.050501087722678e+31,-15.492917012723296
2,b,Q-Cellthru Bigbeads Plus,9510.400418994202,-2.1062872546056606
2,b,Q Sepharose HP,206497.4357480568,-3.391610459073026
2,b,Poros 50 HQ,156.95431602320988,-1.6260367335626946
2,b,Toyopearl QAE 550c,71781026.62791663,-4.391273659686358
2,b,UNO Q-1,23203.680891419903,-3.0381557139976323
2,b,Separon HemaBio 1000Q,192320644401760.47,-6.684307978288472
2,b,Q Sepharose XL,2041313117.7735388,-4.903170463263428
2,c,Q-Cellthru Bigbeads Plus,1308981903.7651582,-5.131008866990123
2,c,Q Sepharose HP,295767526625961.94,-6.2825279445095745
2,c,Poros 50 HQ,1632452451931.9016,-5.292396285390391
2,c,Toyopearl QAE 550c,610000009403.9767,-4.998915852045266
2,c,UNO Q-1,41652969604031.086,-6.087195323681103
2,c,Separon HemaBio 1000Q,204261073661143.16,-6.641781008861772
2,c,Q Sepharose XL,3081766000499.1753,-5.222328546620315
2,c,Toyopearl SuperQ 650c,20216871798545.47,-6.0092204753944305
2,d,Q-Cellthru Bigbeads Plus,837.5047653021303,-2.351928324767071
2,d,Q Sepharose HP,12566763.747738628,-4.196093238029254
2,d,Poros 50 HQ,7035018.655303362,-3.9910679102267093
2,d,Toyopearl QAE 550c,26362.978259532345,-2.6282289986442127
2,d,UNO Q-1,838.8050167157105,-1.884418539935805
2,d,Separon HemaBio 1000Q,198922.30363188003,-3.4609838132818274
2,d,Q Sepharose XL,404776.83414383174,-2.930191944406547
2,d,Toyopearl SuperQ 650c,25298062.43074833,-4.276948347896705
3,a,TSKGel SP-5PW-HR20,1152187624.5273125,-4.575523800913543
3,a,Toyopearl SP 550c,4.4505614807077146e+17,-7.9580742549083
3,a,Source 30S,620386606.9411256,-4.583696504084535
3,a,SP Sepharose BB,323466953.7566929,-4.298788794562617
3,b,Toyopearl SP 650c,226554894094.8455,-4.555988136482239
3,b,Toyopearl SP 550c,9.461399766644845e+17,-6.467171971177548
3,b,SP Sepharose BB,176086167345547.53,-5.396677326787428
3,b,Source 30S,857862868813291.9,-5.697637469812146
3,b,TSKGel SP-5PW-HR20,95631952914637.8,-5.319492195891462
3,b,SP Sepharose XL,127991771074.17143,-4.223524398851092
3,c,Toyopearl SP 650c,1.157684698236754e+16,-6.365060314156754
3,c,Poros 50 HS,4.5951114985774735e+25,-9.440831072381842
3,c,Toyopearl SP 550c,2.028668279092108e+20,-7.233665043258203
3,c,SP Sepharose BB,7.264374065101853e+17,-6.927329679485481
3,c,Source 30S,3208402283169482.5,-6.054162152028766
3,c,TSKGel SP-5PW-HR20,7217060553365106.0,-6.14024714396049
